,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),AI ArtificialIntelligence,7418,18087,--,6191,--,8135,8120,38720,--,4810,--,6802,4822,--,--,4202,6053,6198,19929,35775,22965,12296,--,28919
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),AR Architecture,265,--,--,457,--,--,203,--,242,242,--,230,230,--,198,198,488,488,499,--,--,--,--,--
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),CE Civil,34982,--,38035,36476,39827,41258,38508,--,74998,28542,--,32594,29738,86716,30841,25682,30766,27498,37565,40411,45802,30990,124574,105733
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),CS Computers,2601,--,8647,2986,5737,3807,3894,--,7166,1623,9604,4674,1966,7918,4709,1459,3599,2583,9242,16694,14016,6114,16438,7656
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),EC Electronics,7832,21561,9076,8610,13617,9992,11675,--,17724,5689,19840,9252,6278,11650,8422,5142,10960,8164,22743,29003,28799,13006,--,30200
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),EE Electrical,20587,51745,34616,17669,29180,19081,19148,50345,89610,14319,29031,--,15013,--,18817,12903,16124,18177,26928,50666,31240,19414,--,66517
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),IE Info.Science,5591,8114,--,3987,--,5155,5209,30724,--,2970,--,6357,3459,--,--,2557,4304,4483,15798,31375,17823,7598,17615,12377
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),ME Mechanical,37965,--,50784,45666,48601,60263,45062,--,68722,32397,--,44597,38742,45782,47702,29417,39292,42109,54619,60481,71130,45004,105268,107391
E002  S K S J T Institute of Engineering.  Bangalore,CE Civil,42310,--,50935,49634,100907,53236,37966,--,--,38374,--,89258,40730,96476,47017,37788,44964,45940,43570,49512,49077,48160,145114,129762
E002  S K S J T Institute of Engineering.  Bangalore,CS Computers,11405,--,17847,11815,17829,13738,15491,--,17486,10367,--,12693,10447,20485,13421,9320,12449,12153,21262,36626,23646,12802,21933,36547
E002  S K S J T Institute of Engineering.  Bangalore,EC Electronics,19231,--,33229,20830,20991,29493,25354,--,--,20388,--,32410,20011,--,26627,17740,20941,20131,35893,36915,39432,26342,79928,36174
E002  S K S J T Institute of Engineering.  Bangalore,ST Silk Tech.,72249,--,--,48560,--,60755,145685,--,--,--,--,--,46047,--,--,42349,54811,55825,65688,--,147805,59764,--,--
E002  S K S J T Institute of Engineering.  Bangalore,TX Textiles,52452,--,170257,55422,172706,59959,78143,--,167009,55464,192913,--,52268,62557,--,49909,118206,56448,63606,141029,81190,155896,--,167804
"E003  B M S College of Engineering  Basavanagudi,Bangalore",CE Civil,27146,--,38065,29535,41626,30937,25712,--,--,18125,--,69089,21712,90422,30339,17425,35076,26887,29581,43362,32076,22445,116868,94563
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,3409,--,6045,3139,11124,4500,5106,--,--,1897,--,4467,1549,9275,--,1247,5867,3894,15698,47314,18076,6968,--,37639
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,7642,48296,31018,12611,25985,18654,11113,--,74842,6608,--,13776,8426,21856,12800,5093,15787,12418,23570,78200,28029,18782,80710,42229
"E003  B M S College of Engineering  Basavanagudi,Bangalore",IM Ind. Engg.Mgmt.,32227,--,--,45132,51972,62496,34923,--,67492,25780,--,56506,30516,--,76130,24856,37653,48328,68974,142095,92708,53332,--,--
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,12942,94196,46988,27733,--,42973,15149,175764,83638,14688,81676,38686,15993,--,75117,10079,34809,29546,47436,91304,75462,34112,--,160699
E004  Dr. Ambedkar Institute Of Technology  Bangalore,CE Civil,67654,--,--,68048,74779,97142,71977,144892,--,51024,--,--,51491,--,56817,48594,49939,56465,56651,62040,58977,54372,--,113703
E004  Dr. Ambedkar Institute Of Technology  Bangalore,CS Computers,8862,20322,15531,8134,14085,8767,9492,--,23254,6110,11482,--,6661,9577,7946,5829,7672,7852,18322,--,22794,11398,--,29445
E004  Dr. Ambedkar Institute Of Technology  Bangalore,EC Electronics,18357,28633,22237,18809,22927,21445,22908,--,29303,14750,--,21348,15230,--,19575,14320,20278,19530,39285,45925,50041,21186,66880,62898
E004  Dr. Ambedkar Institute Of Technology  Bangalore,EE Electrical,26458,72907,58473,31023,38669,41449,28920,--,83899,24509,--,27996,26439,38326,41713,24450,26836,26047,45123,80208,54349,24974,--,--
E004  Dr. Ambedkar Institute Of Technology  Bangalore,EI Elec. Inst.Engg,48785,--,74970,58481,92830,64883,69456,182632,--,50779,115736,72850,48497,76033,--,42176,53636,52439,67012,191423,87341,64924,--,--
