Institution,CourseName,1G,Predicted_AvgCutoffRank
E009  P E S University (Ring Road Campus)  Bangalore,BB B Tech in EC,10089.0,23406.765519130033
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",AI ArtificialIntelligence,10102.0,20210.11758625313
E178  The National Institute of Engineering(NORTH CAMPUS)  Mysore,"CA CS (AI, MachineLearning)",10283.0,23661.88793852758
E007  Dayananda Sagar College of Engineering  Bangalore,EC Electronics,10304.0,18144.26187461412
E007  Dayananda Sagar College of Engineering  Bangalore,CY CS- CyberSecurity,10306.0,16927.25745824117
E178  The National Institute of Engineering(NORTH CAMPUS)  Mysore,IE Info.Science,10513.0,23187.30015046189
E008  Bangalore Institute of Technology  Bangalore,"IC CS-IoT, CyberSecurity",10560.0,24536.19980835665
E008  Bangalore Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,10587.0,19257.651505651407
E007  Dayananda Sagar College of Engineering  Bangalore,CB Comp. Sc. andBus Sys.,10862.0,22763.71862044496
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",CB Comp. Sc. andBus Sys.,10914.0,22800.558395188185
E105  Nitte Meenakshi Institutute of Technology  Bangalore,IE Info.Science,11037.0,23811.536450771477
E097  C M R Institute of Technology  Bangalore,CS Computers,11220.0,20242.759974126457
E005  R. V. College of Engineering  Bangalore,EI Elec. Inst.Engg,11275.0,24825.621407612154
E105  Nitte Meenakshi Institutute of Technology  Bangalore,AI ArtificialIntelligence,11307.0,22632.040413499813
E002  S K S J T Institute of Engineering.  Bangalore,CS Computers,11405.0,18323.314018907553
E006  M S Ramaiah Institute of Technology  Bangalore,EE Electrical,11516.0,18901.35394960446
E008  Bangalore Institute of Technology  Bangalore,EC Electronics,11542.0,19236.20136134795
E006  M S Ramaiah Institute of Technology  Bangalore,BT Bio Technology,11618.0,21954.424070489804
E006  M S Ramaiah Institute of Technology  Bangalore,ET Elec.Telecommn. Engg.,11714.0,27551.775028023476
E016  Siddaganga Institute of Technology  Tumkur,"AD ArtificialIntel, Data Sc",12037.0,20995.67613382087
E007  Dayananda Sagar College of Engineering  Bangalore,CD Computer Sc.and Design,12126.0,20260.95180602245
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,CS Computers,12166.0,19210.54757722743
E016  Siddaganga Institute of Technology  Tumkur,EC Electronics,12288.0,20896.35156819751
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,EC Electronics,12319.0,21754.17859924325
E141  P E S University (Electronic City Campus)  Bangalore,BB B Tech in EC,12324.0,30073.955080209016
E099  New Horizon College of Engineering  Bangalore,IE Info.Science,12445.0,22273.059416666678
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,12501.0,18023.468715256302
E007  Dayananda Sagar College of Engineering  Bangalore,RI Robotics and AI,12588.0,22988.46327318296
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",AI ArtificialIntelligence,12747.0,23082.027990950206
E037  K.L.S. Gogte Institute of Technology  Belgaum,CS Computers,12761.0,17988.357850742075
E016  Siddaganga Institute of Technology  Tumkur,"CA CS (AI, MachineLearning)",12835.0,22262.890033683954
E007  Dayananda Sagar College of Engineering  Bangalore,AE Aeronaut.Engg,12842.0,22250.49488586781
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,12942.0,45273.53659335836
E005  R. V. College of Engineering  Bangalore,CE Civil,13213.0,34989.51912647401
E082  J S S Academy of Technical Education  Bangalore,CS Computers,13263.0,24741.111938596485
E118  RNS Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,13278.0,30075.608423116584
E118  RNS Institute of Technology  Bangalore,IE Info.Science,13585.0,27732.567781033445
E097  C M R Institute of Technology  Bangalore,IE Info.Science,13668.0,31515.169414270902
E071  Vidya Vardhaka College of Engineering  Mysuru,CS Computers,13729.0,25939.007546365894
E082  J S S Academy of Technical Education  Bangalore,IE Info.Science,13744.0,31530.074801267805
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,CS Computers,13979.0,25310.454893701626
E071  Vidya Vardhaka College of Engineering  Mysuru,IE Info.Science,14086.0,30625.237416666605
E107  B N M Institute of Technology  Bangalore,IE Info.Science,14160.0,31260.251664492047
E099  New Horizon College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,14214.0,30832.32374085785
E285  R V University  Bangalore,BW B Tech in CS,14293.0,31292.95184584206
E005  R. V. College of Engineering  Bangalore,CH Chemical,14432.0,39466.544907759
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",EC Electronics,14737.0,28259.293962457097
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",IE Info.Science,14787.0,28960.5615032065
E079  Acharya Institute of Technology  Bangalore,CS Computers,14837.0,25143.597141925584
E118  RNS Institute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",14844.0,28745.467323444223
