Institution,CourseName,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,CourseName_enc,Predicted_AvgCutoffRank
The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EC Electronics,7298.0,25062.0,14883.0,6924.0,18091.0,10702.0,12035.0,,26999.0,4708.0,,8322.0,4858.0,,10677.0,4547.0,14392.0,8022.0,25035.0,63067.0,31418.0,15407.0,,57649.0,18504.8,67,18638.57065789475
"R V Institute of Technology and Management  JP Nagar, Bengaluru",CS Computers,6173.0,,15334.0,9875.0,18239.0,13127.0,8640.0,,29232.0,5674.0,,,6573.0,,10905.0,4241.0,8029.0,10311.0,32992.0,44669.0,46972.0,19997.0,,53681.0,19148.0,42,19649.014748010846
Nitte Meenakshi Institutute of Technology  Bangalore,IE Info.Science,11037.0,,16240.0,10049.0,18507.0,11693.0,9652.0,,,7484.0,,12199.0,7636.0,,11670.0,7374.0,15063.0,11551.0,36698.0,53908.0,44720.0,22481.0,72636.0,73600.0,23905.157894736843,78,23845.80861749068
RNS Institute of Technology  Bangalore,IE Info.Science,13585.0,,16208.0,10493.0,18553.0,14192.0,14693.0,,29162.0,7887.0,,13426.0,8231.0,,13934.0,7039.0,15171.0,11773.0,43035.0,57611.0,57731.0,22594.0,86819.0,34318.0,24822.75,78,24128.951563264207
Vidya Vardhaka College of Engineering  Mysuru,CS Computers,13729.0,38285.0,28855.0,11869.0,18578.0,13992.0,14271.0,,33610.0,8929.0,,13878.0,9336.0,24894.0,11645.0,8096.0,13337.0,11313.0,29711.0,33773.0,30872.0,13527.0,69852.0,48341.0,22758.772727272728,42,22036.27485496048
Bangalore Institute of Technology  Bangalore,EC Electronics,11542.0,,20272.0,10481.0,18959.0,13819.0,17279.0,,,7410.0,,13145.0,7240.0,,11911.0,6563.0,16749.0,11334.0,34688.0,49664.0,35451.0,16899.0,,26134.0,18307.777777777777,67,20182.360594911952
KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,CS Computers,19453.0,,28045.0,15492.0,19174.0,18717.0,17035.0,20471.0,25086.0,17568.0,,21104.0,13950.0,,17342.0,13054.0,13565.0,16855.0,44538.0,53238.0,45056.0,24957.0,,64640.0,25467.0,42,23396.360164962312
Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,CS Computers,12166.0,,19088.0,10426.0,19521.0,13664.0,13451.0,,,9344.0,,,9314.0,,11982.0,8546.0,9675.0,10479.0,27242.0,42724.0,41411.0,16572.0,,36140.0,18337.941176470587,42,20135.518973470065
R. V. College of Engineering  Bangalore,CE Civil,13213.0,,30522.0,14615.0,19527.0,25425.0,12999.0,,53493.0,11184.0,,,11752.0,38667.0,20273.0,10651.0,18520.0,18090.0,23206.0,,34391.0,16238.0,,,21927.41176470588,31,21647.608714362617
University B.D.T. college of Engineering  Davangere,CS Computers,17832.0,,36774.0,16910.0,19552.0,19639.0,13678.0,,20226.0,15564.0,54469.0,36046.0,12310.0,,19789.0,11889.0,15660.0,16158.0,25346.0,34113.0,26694.0,15663.0,,25768.0,22704.0,42,22254.588778705085
Siddaganga Institute of Technology  Tumkur,EC Electronics,12288.0,,19309.0,10369.0,19557.0,11447.0,13618.0,,20701.0,7849.0,,14693.0,7926.0,,10060.0,7732.0,13543.0,9949.0,31844.0,57884.0,36969.0,14346.0,61990.0,51263.0,21666.85,67,21497.594427483906
P E S University (Electronic City Campus)  Bangalore,BW B Tech in CS,8309.0,,12470.0,8069.0,19599.0,12871.0,11685.0,34683.0,13867.0,6109.0,13003.0,9083.0,5274.0,12152.0,9387.0,3796.0,9642.0,8653.0,36841.0,48803.0,54157.0,50027.0,56747.0,64905.0,22179.652173913044,23,23439.200971395898
P E S University (Electronic City Campus)  Bangalore,AM B Tech in AM,5542.0,,14155.0,8740.0,19600.0,10584.0,14049.0,,36558.0,5806.0,23000.0,12106.0,6297.0,,14009.0,4040.0,15568.0,6871.0,39099.0,56581.0,62625.0,51398.0,,63360.0,23499.4,3,23207.973456233274
J S S Academy of Technical Education  Bangalore,CS Computers,13263.0,,,10593.0,19858.0,15014.0,13802.0,,20096.0,8247.0,21061.0,15116.0,8957.0,,14241.0,8153.0,14507.0,13910.0,40415.0,59974.0,51252.0,19671.0,,47218.0,21860.42105263158,42,22230.84834069192
Acharya Institute of Technology  Bangalore,CS Computers,14837.0,,26870.0,16214.0,19951.0,17048.0,16219.0,,29406.0,12988.0,,16156.0,13228.0,25443.0,17136.0,12439.0,15571.0,15538.0,38234.0,45578.0,46853.0,24256.0,,43942.0,23395.35,42,22890.867788060346
