Institution,CourseName,2AR,Predicted_AvgCutoffRank
"E048  B M S College of Engineering  Basavanagudi,Bangalore",SE Aero SpaceEngg.,18020.0,29716.19760061925
E099  New Horizon College of Engineering  Bangalore,AI ArtificialIntelligence,18056.0,25301.142620041148
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",EC Electronics,18620.0,28820.675298663395
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,18654.0,28900.007453425285
E071  Vidya Vardhaka College of Engineering  Mysuru,IE Info.Science,18679.0,30533.857441981654
E036  KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,CS Computers,18717.0,26211.982548715536
E082  J S S Academy of Technical Education  Bangalore,IE Info.Science,18836.0,33198.5972534588
E105  Nitte Meenakshi Institutute of Technology  Bangalore,EC Electronics,18856.0,30970.97369757735
E105  Nitte Meenakshi Institutute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",18892.0,23280.24913058435
E047  Malnad College of Engineering  Hassan,CS Computers,19049.0,28578.86749980022
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),EE Electrical,19081.0,30890.590358395944
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",AI ArtificialIntelligence,19113.0,24261.442697828006
E160  Sahyadri College of Engg. and Management  Mangalore,CS Computers,19157.0,26875.801446975813
E118  RNS Institute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",19384.0,27815.992277244077
E099  New Horizon College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,19537.0,30647.772388950307
E285  R V University  Bangalore,BW B Tech in CS,19539.0,28846.19664740293
E232  Reva University  Bangalore,BW B Tech in CS,19599.0,26318.1421672645
E007  Dayananda Sagar College of Engineering  Bangalore,RI Robotics and AI,19619.0,31653.370641249898
E061  University B.D.T. college of Engineering  Davangere,CS Computers,19639.0,24924.603844251098
E079  Acharya Institute of Technology  Bangalore,IE Info.Science,20186.0,36131.05676263049
E005  R. V. College of Engineering  Bangalore,ME Mechanical,20191.0,28941.650107364036
E129  St. Joseph Engineering College  Mangalore,CS Computers,20256.0,30294.760139684215
E107  B N M Institute of Technology  Bangalore,AI ArtificialIntelligence,20586.0,30711.95048337993
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BW B Tech in CS,20614.0,30382.75627661121
E065  Jawaharlal Nehru National College of Engineering  Shimoga,CS Computers,20680.0,26238.745524620437
E011  M V J College of Engineering  Bangalore,CS Computers,20692.0,26864.370998304592
E008  Bangalore Institute of Technology  Bangalore,RI Robotics and AI,20970.0,36548.821637254936
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,IE Info.Science,21005.0,32876.24386106676
E166  K L E Institute of Technology  Hubli,CS Computers,21285.0,27744.905807421357
E103  Global Academy of Technology  Bangalore,CS Computers,21429.0,30628.878528256308
E004  Dr. Ambedkar Institute Of Technology  Bangalore,EC Electronics,21445.0,29944.229001462998
E006  M S Ramaiah Institute of Technology  Bangalore,BT Bio Technology,21581.0,39667.99874955987
E232  Reva University  Bangalore,CU B Tech in IS,21678.0,44998.91170469359
E058  P E S College of Engineering  Mandya,IE Info.Science,21679.0,32851.989516636575
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",IE Info.Science,21724.0,32766.203875403105
E118  RNS Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",21916.0,36348.619827995746
E007  Dayananda Sagar College of Engineering  Bangalore,CD Computer Sc.and Design,21928.0,28111.52954935798
E160  Sahyadri College of Engg. and Management  Mangalore,IE Info.Science,22150.0,37054.14979999209
E279  Visvesvaraya Technological University  Belgaum,CB Comp. Sc. andBus Sys.,22201.0,44054.084400461856
E118  RNS Institute of Technology  Bangalore,EC Electronics,22255.0,35037.67185075626
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",CB Comp. Sc. andBus Sys.,22256.0,40864.614941717016
E037  K.L.S. Gogte Institute of Technology  Belgaum,EC Electronics,22342.0,30901.319569064035
E118  RNS Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,22383.0,32253.70986677472
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,EC Electronics,22837.0,28600.594426519787
E071  Vidya Vardhaka College of Engineering  Mysuru,"CA CS (AI, MachineLearning)",23090.0,33632.67126131183
E118  RNS Institute of Technology  Bangalore,CY CS- CyberSecurity,23101.0,33977.463967609714
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",AI ArtificialIntelligence,23148.0,32617.13609410766
E023  P E S College of Engineering  Mandya,EC Electronics,23458.0,36952.29360790682
E011  M V J College of Engineering  Bangalore,IE Info.Science,23467.0,36625.99481300839
E108  Sapthagiri NPS College of Engineering  Bangalore,CS Computers,23479.0,48163.15306855971
