Institution,CourseName,3AG,Predicted_AvgCutoffRank
E037  K.L.S. Gogte Institute of Technology  Belgaum,IE Info.Science,13153.0,28789.01347351889
E232  Reva University  Bangalore,BW B Tech in CS,13540.0,31468.3066916259
E006  M S Ramaiah Institute of Technology  Bangalore,EI Elec. Inst.Engg,13721.0,29215.24637937223
E071  Vidya Vardhaka College of Engineering  Mysuru,"CA CS (AI, MachineLearning)",13725.0,32002.090669703073
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",IE Info.Science,13745.0,31627.410685425464
E118  RNS Institute of Technology  Bangalore,EC Electronics,13770.0,33289.53869626527
E099  New Horizon College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,14178.0,32657.771472221637
E105  Nitte Meenakshi Institutute of Technology  Bangalore,CB Comp. Sc. andBus Sys.,14259.0,40509.96753648822
E118  RNS Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",14272.0,39102.81492245321
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),EE Electrical,14319.0,32598.46038146083
E103  Global Academy of Technology  Bangalore,CS Computers,14422.0,32189.1998807995
E099  New Horizon College of Engineering  Bangalore,EC Electronics,14501.0,34844.41352323792
E118  RNS Institute of Technology  Bangalore,CY CS- CyberSecurity,14538.0,33512.18550657206
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,14688.0,51221.26460305741
E004  Dr. Ambedkar Institute Of Technology  Bangalore,EC Electronics,14750.0,31112.548523381753
E097  C M R Institute of Technology  Bangalore,AI ArtificialIntelligence,14772.0,34792.050646228556
E006  M S Ramaiah Institute of Technology  Bangalore,ME Mechanical,14854.0,45666.27352258838
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,CU B Tech in IS,14926.0,37277.10753085582
E031  Basaveshwara Engineering College  Bagalkot,CS Computers,15194.0,31463.76553223799
E079  Acharya Institute of Technology  Bangalore,IE Info.Science,15304.0,36057.09701806311
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,AI ArtificialIntelligence,15323.0,32553.09907059504
E065  Jawaharlal Nehru National College of Engineering  Shimoga,CS Computers,15340.0,26932.98985827698
E058  P E S College of Engineering  Mandya,IE Info.Science,15464.0,29153.71671743265
E011  M V J College of Engineering  Bangalore,CS Computers,15468.0,25450.552282300778
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,EC Electronics,15549.0,27302.393136931743
E061  University B.D.T. college of Engineering  Davangere,CS Computers,15564.0,24186.22199867316
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",AI ArtificialIntelligence,15640.0,31410.504270731904
E097  C M R Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",15735.0,33674.36864111627
E005  R. V. College of Engineering  Bangalore,IM Ind. Engg.Mgmt.,15870.0,33904.22847114398
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,IE Info.Science,15973.0,33486.24228552158
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",EC Electronics,16037.0,35713.12350284088
E037  K.L.S. Gogte Institute of Technology  Belgaum,EC Electronics,16216.0,32643.99670711091
E133  G S S S Institute of Engineering and Technology for Women  Mysore,CS Computers,16495.0,37389.884649339765
E082  J S S Academy of Technical Education  Bangalore,"CA CS (AI, MachineLearning)",16540.0,41041.36100797225
E232  Reva University  Bangalore,CU B Tech in IS,16550.0,47409.64591075011
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,EE Electrical,16571.0,36579.15996829984
E108  Sapthagiri NPS College of Engineering  Bangalore,CS Computers,16908.0,47693.385900480185
E007  Dayananda Sagar College of Engineering  Bangalore,EE Electrical,16971.0,38751.256868937126
E097  C M R Institute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",17082.0,37048.61675751784
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BH B Tech in AI,17301.0,42861.78264959495
E023  P E S College of Engineering  Mandya,EC Electronics,17502.0,35738.22052836423
E036  KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,CS Computers,17568.0,28682.407628383742
E166  K L E Institute of Technology  Hubli,CS Computers,17667.0,27792.656449475242
E097  C M R Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,17702.0,32267.468974673287
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,CD Computer Sc.and Design,17730.0,46679.27084611034
E071  Vidya Vardhaka College of Engineering  Mysuru,EC Electronics,17774.0,37438.29340752538
E016  Siddaganga Institute of Technology  Tumkur,ET Elec.Telecommn. Engg.,17917.0,40626.30877786381
E232  Reva University  Bangalore,AM B Tech in AM,18045.0,46708.963807644024
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BL B Tech in AS,18051.0,49498.25871813722
"E003  B M S College of Engineering  Basavanagudi,Bangalore",CE Civil,18125.0,43475.271257282264
