Institution,CourseName,GM,Predicted_AvgCutoffRank
E036  KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,CS Computers,13054.0,27542.565412914202
E097  C M R Institute of Technology  Bangalore,AI ArtificialIntelligence,13077.0,31235.877052998552
E129  St. Joseph Engineering College  Mangalore,CS Computers,13082.0,30446.79092625633
E071  Vidya Vardhaka College of Engineering  Mysuru,"CA CS (AI, MachineLearning)",13116.0,33581.8498393711
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BL B Tech in AS,13319.0,47434.43115798398
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,CM B Tech in EV,13388.0,41766.609532493414
E037  K.L.S. Gogte Institute of Technology  Belgaum,"CA CS (AI, MachineLearning)",13411.0,33370.163096801654
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",IE Info.Science,13436.0,32285.490064816702
E099  New Horizon College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,13676.0,31462.70339369652
E118  RNS Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",13872.0,38767.75804275394
E166  K L E Institute of Technology  Hubli,CS Computers,13960.0,27422.81544195141
E103  Global Academy of Technology  Bangalore,CS Computers,13980.0,30298.751853716178
E279  Visvesvaraya Technological University  Belgaum,CB Comp. Sc. andBus Sys.,14036.0,46529.35771823538
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,AI ArtificialIntelligence,14046.0,34697.949420602774
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,CU B Tech in IS,14063.0,37223.16045515557
E118  RNS Institute of Technology  Bangalore,CY CS- CyberSecurity,14226.0,33782.48437356296
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",BT Bio Technology,14276.0,39941.23534793896
E004  Dr. Ambedkar Institute Of Technology  Bangalore,EC Electronics,14320.0,30993.91441689783
E097  C M R Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",14329.0,36150.489973057556
E031  Basaveshwara Engineering College  Bagalkot,CS Computers,14343.0,27779.38925691327
E097  C M R Institute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",14348.0,32805.06970240581
E099  New Horizon College of Engineering  Bangalore,EC Electronics,14370.0,34173.199630852396
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",AI ArtificialIntelligence,14397.0,32661.7276262545
E065  Jawaharlal Nehru National College of Engineering  Shimoga,CS Computers,14453.0,27513.646780017785
E006  M S Ramaiah Institute of Technology  Bangalore,CH Chemical,14466.0,48783.116992422874
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BB B Tech in EC,14477.0,40492.24594491809
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,EE Electrical,14618.0,32320.81621797746
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,AI ArtificialIntelligence,14637.0,33708.48002686013
E011  M V J College of Engineering  Bangalore,CS Computers,14790.0,27868.66383891345
E062  Bapuji Institute of Engineering and Technology  Davangere,CS Computers,15056.0,29836.217209543254
E079  Acharya Institute of Technology  Bangalore,IE Info.Science,15090.0,38198.269275246894
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,EV EC  Engg(VLSIDesign),15127.0,42064.974955485464
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,IE Info.Science,15197.0,32795.01585425105
E058  P E S College of Engineering  Mandya,IE Info.Science,15223.0,30860.928275065427
E037  K.L.S. Gogte Institute of Technology  Belgaum,EC Electronics,15371.0,32000.16889251814
E007  Dayananda Sagar College of Engineering  Bangalore,EE Electrical,15496.0,35313.42742219172
E082  J S S Academy of Technical Education  Bangalore,"CA CS (AI, MachineLearning)",15535.0,39082.37341492205
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",EC Electronics,15846.0,37273.863557133656
E008  Bangalore Institute of Technology  Bangalore,ET Elec.Telecommn. Engg.,15905.0,48291.3719057524
E007  Dayananda Sagar College of Engineering  Bangalore,ET Elec.Telecommn. Engg.,15909.0,48291.3719057524
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",DS Comp. Sc. Engg-Data Sc.,16108.0,34287.51695450078
E133  G S S S Institute of Engineering and Technology for Women  Mysore,CS Computers,16108.0,37201.33857586403
E108  Sapthagiri NPS College of Engineering  Bangalore,CS Computers,16111.0,48516.64759554676
E047  Malnad College of Engineering  Hassan,"CA CS (AI, MachineLearning)",16146.0,53588.241346334114
E232  Reva University  Bangalore,CU B Tech in IS,16238.0,52018.77217105373
E016  Siddaganga Institute of Technology  Tumkur,BT Bio Technology,16348.0,59990.47123258957
E023  P E S College of Engineering  Mandya,EC Electronics,16383.0,39795.06330900076
E059  P D A College of Engineering  Gulbarga,CS Computers,16424.0,37852.977671041015
E129  St. Joseph Engineering College  Mangalore,AI ArtificialIntelligence,16430.0,42807.765956641066
E097  C M R Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,16467.0,33955.68963206829
